id_category,category
0,QUESOS Y FIAMBRES
1,PANADERÍA Y PASTELERÍA
2,DESAYUNO Y DULCES
3,CONGELADOS
4,"VINOS, CERVEZAS Y LICORES"
5,BEBÉ
6,BELLEZA Y CUIDADO PERSONAL
7,MASCOTAS
8,HOGAR
9,PESCADERÍA
10,COMIDAS PREPARADAS
11,BEBIDAS VEGETALES
12,LÁCTEOS
13,DESPENSA
14,FRUTAS Y VERDURAS
15,CARNICERÍA
16,LIMPIEZA
17,BOTILLERÍA
18,BEBÉ
19,CONGELADOS
20,DESAYUNO Y DULCES
21,BELLEZA Y CUIDADO PERSONAL
22,"VINOS, CERVEZAS Y LICORES"
23,QUESOS Y FIAMBRES
24,PANADERÍA Y PASTELERÍA
25,PESCADERÍA
26,COMIDAS PREPARADAS
27,SABORES DEL MUNDO
28,MUNDO BIO NATURA
29,HOGAR
30,ELECTRO Y TECNO
31,DEPORTES
32,JUGUETERÍA
33,ESCOLARES Y LIBRERÍA
34,FARMACIA
35,"AUTOMÓVIL, FERRETERÍA Y JARDÍN"
36,LÁCTEOS
37,DESPENSA
38,FRUTAS Y VERDURAS
39,LIMPIEZA
40,CARNICERÍA
41,BOTILLERÍA
42,MASCOTAS
