id_type,type
1,JAMÓN
2,SALAME
3,QUESO MANTECOSO
4,QUESO CREMA
5,SALAME ITALIANO
6,SALCHICHAS
7,PATÉ DE TERNERA
8,PATÉ DE JAMÓN
9,CHORIZO
10,QUESO FRESCO
11,PECHUGA DE POLLO
12,MORTADELA DE CERDO
13,LONGANIZA
14,PATÉ DE CAMPO
15,QUESO GRANULADO
16,PECHUGA DE PAVO
17,PRIETAS
18,POLLO
19,MARISCOS EN CONSERVAS
20,LONGANICILLA
21,QUESO GAUDA
22,QUESO EN HEBRA
23,PASTAS UNTABLES
24,JAMÓN PIERNA
25,PIZZA VEGETARIANA
26,ARROLLADO HUASO
27,SALCHICHÓN CERVEZA
28,JAMÓN DE POLLO
29,SALAMÍN
30,ARROLLADO DE LOMO
31,PEPPERONI
32,QUESO CHACRA
33,QUESO PARMESANO
34,CREMA DE LECHE
35,QUESO SUCEDÁNEO VEGANO
36,PANCETA
37,CERVEZAS PREMIUM
38,ACEITUNAS AZAPA
39,QUESO DE CABRA
40,QUESO EDAM
41,QUESO MOZZARELLA
42,QUESO BRIE
43,ACEITUNAS RELLENAS
44,QUESO GOUDA HOLANDÉS
45,QUESO EMMENTAL - GRUYERE
46,CARNE DE VACUNO
47,PAN DE MOLDE BLANCO
48,PAN INTEGRAL
49,MARRAQUETAS
50,HALLULLAS
51,PAN CENTENO
52,TORTILLAS
53,PAN HAMBURGUESA
54,PAN PITA
55,PAN DE MOLDE INTEGRAL
56,MAGDALENAS
57,PAN DE COMPLETO
58,GALLETAS DE MAÍZ
59,QUEQUES
60,TORTA DE BIZCOCHO
61,WAFFLES
62,ALFAJORES
63,MASAS PIZZA
64,MASAS EMPANADAS
65,PAN RALLADO
66,PIE DE LIMÓN
67,KUCHEN
68,BROWNIES
69,PAN BAGUETTE
70,MINI PASTELES Y BIZCOCHOS
71,QUESADILLAS
72,GRISINES
73,DULCES ÁRABES
74,MUFFINS
75,SNACK
76,PAN PUMPERNICKEL
77,BIZCOCHOS TORTAS
78,AVENA
79,AZÚCAR BLANCA
80,GALLETAS BAÑADAS Y RELLENAS
81,GALLETAS CRACKERS
82,CHOCOLATE MACIZO
83,GALLETAS OBLEA
84,GALLETAS TRADICIONALES
85,GALLETAS CHIPS
86,GALLETAS DE SODA
87,MANJAR
88,GALLETAS DE AVENA
89,COMPOTAS
90,SABORIZANTES
91,HAMBURGUESAS DE VERDURAS
92,NUGGETS DE POLLO
93,CHOCLO
94,ENSALADA DE VERDURAS
95,PAPAS PRE FRITAS
96,BASE ARVERJADO
97,MIX DE VERDURAS
98,PASTA DE CHOCLO
99,CEBOLLAS
100,HABAS
101,HAMBURGUESAS DE VACUNO
102,HELADOS MIX SABORES
103,CROQUETAS DE POLLO
104,HAMBURGUESAS DE POLLO
105,PAPAS DUQUESAS
106,HIELOS
107,HELADOS DE LECHE
108,HELADOS CON FRUTAS
109,ESCALOPA KAYSER
110,LOMITOS DE CERDO
111,CHURRASCOS DE VACUNO
112,MANGO
113,EMPANADAS DE CÓCTEL
114,POSTRE DE HELADO
115,MIX DE FRUTAS
116,ENSALADAS
117,CHURROS
